Year,USD,EUR,JPY
2015,"1,160.1","1,045.2","140,383.8"
2016,"1,250.8","1,129.1","135,418.3"
2017,"1,257.2","1,114.2","140,957.4"
2018,"1,268.5","1,073.6","140,039.7"
2019,"1,392.6","1,244.9","151,689.3"
2020,"1,769.6","1,549.0","188,771.2"
2021,"1,798.6","1,520.7","197,452.3"
2022,"1,800.1","1,710.4","236,044.0"
2023,"1,940.5","1,795.0","272,978.0"
2024,"2,386.2","2,205.5","361,390.4"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
